                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.57185,                 0.5795,                0.97642,                0.98716,                0.97467,                0.98972,                0.91244,                0.38012,                0.30909,                0.82376,             0.00043656,             0.00043656,             0.00043656
                    134,                0.55114,                0.55118,                 0.9665,                0.98643,                0.97884,                0.99064,                0.91871,                 0.3767,                0.30238,                0.82218,             0.00043402,             0.00043402,             0.00043402
                    135,                0.55487,                0.57654,                0.96512,                 0.9885,                0.97753,                0.98957,                0.91454,                0.38494,                0.30567,                0.82541,             0.00043149,             0.00043149,             0.00043149
                    136,                0.56238,                0.57295,                0.97431,                0.99383,                0.97379,                0.98959,                0.91471,                0.38801,                0.30351,                0.82342,             0.00042895,             0.00042895,             0.00042895
                    137,                0.56479,                0.56784,                0.97164,                0.98806,                0.97472,                0.99003,                0.91675,                0.38757,                0.30935,                0.83188,             0.00042641,             0.00042641,             0.00042641
                    138,                 0.5653,                0.57255,                0.97359,                0.99166,                0.97733,                 0.9906,                0.91581,                0.38021,                 0.3004,                0.82431,             0.00042387,             0.00042387,             0.00042387
                    139,                0.56075,                0.56122,                0.97179,                0.98524,                0.97908,                0.99161,                0.91415,                0.38831,                0.30611,                0.82626,             0.00042134,             0.00042134,             0.00042134
                    140,                0.55366,                0.56213,                0.95444,                0.98448,                0.97729,                0.99003,                0.91795,                0.37768,                0.30461,                0.82449,              0.0004188,              0.0004188,              0.0004188
                    141,                 0.5484,                0.55788,                0.96506,                0.98858,                0.97582,                0.99215,                0.91788,                0.38597,                0.30347,                0.82633,             0.00041626,             0.00041626,             0.00041626
                    142,                0.56122,                0.55982,                0.95997,                0.98967,                0.97315,                0.99144,                0.91545,                0.38175,                0.30472,                0.82428,             0.00041372,             0.00041372,             0.00041372
                    143,                0.55746,                0.55006,                0.96822,                0.99038,                0.97572,                0.99158,                0.91997,                0.37754,                0.30358,                0.82482,             0.00041118,             0.00041118,             0.00041118
                    144,                0.55131,                0.54948,                0.96682,                0.99145,                0.97738,                0.99104,                0.91606,                0.38413,                0.29663,                0.82501,             0.00040865,             0.00040865,             0.00040865
