                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.50302,                0.47882,                0.95429,                0.99098,                0.98099,                 0.9923,                0.94243,                0.33215,                 0.2587,                0.80536,             0.00042895,             0.00042895,             0.00042895
                    137,                0.48338,                0.46086,                0.94747,                0.99184,                0.98385,                0.99272,                0.94781,                0.31945,                0.25018,                0.80448,             0.00042641,             0.00042641,             0.00042641
                    138,                0.49179,                0.48122,                0.95115,                0.98945,                0.98762,                0.99274,                0.94468,                0.32458,                0.24798,                0.80387,             0.00042387,             0.00042387,             0.00042387
                    139,                0.49061,                0.46565,                 0.9503,                0.99048,                0.98572,                0.99343,                0.94408,                0.32643,                0.25363,                 0.8026,             0.00042134,             0.00042134,             0.00042134
                    140,                0.48001,                0.46411,                 0.9397,                0.99296,                0.98313,                 0.9926,                0.94342,                0.32109,                 0.2513,                0.80671,              0.0004188,              0.0004188,              0.0004188
                    141,                0.47496,                 0.4434,                0.94203,                0.99376,                0.98704,                0.99303,                0.94443,                0.32056,                  0.251,                0.80411,             0.00041626,             0.00041626,             0.00041626
                    142,                0.48725,                0.45031,                0.93855,                0.99198,                0.98303,                 0.9936,                0.94956,                0.31229,                0.24534,                0.80283,             0.00041372,             0.00041372,             0.00041372
                    143,                0.48386,                0.45507,                0.94253,                0.99439,                0.98083,                0.99383,                0.94798,                0.31492,                0.24557,                 0.8014,             0.00041118,             0.00041118,             0.00041118
                    144,                 0.4813,                0.45873,                 0.9386,                0.99032,                0.98462,                0.99275,                0.94243,                0.32313,                0.24916,                0.80279,             0.00040865,             0.00040865,             0.00040865
                    145,                 0.4757,                 0.4377,                0.94168,                0.99626,                0.98299,                0.99332,                0.94398,                0.31486,                0.24815,                0.80157,             0.00040611,             0.00040611,             0.00040611
                    146,                 0.4848,                0.44473,                0.94495,                0.99177,                0.98262,                 0.9933,                0.94642,                0.31354,                0.24667,                0.80051,             0.00040357,             0.00040357,             0.00040357
                    147,                0.47016,                0.44409,                0.94455,                0.99504,                0.98243,                0.99334,                0.94436,                0.31946,                 0.2487,                0.80187,             0.00040103,             0.00040103,             0.00040103
                    148,                0.47556,                0.44453,                0.94034,                0.99224,                0.98215,                0.99333,                0.94812,                0.30856,                  0.244,                0.80151,              0.0003985,              0.0003985,              0.0003985
                    149,                0.47946,                0.44843,                0.94106,                0.98856,                0.98729,                0.99268,                0.94965,                0.30567,                0.24269,                  0.798,             0.00039596,             0.00039596,             0.00039596
                    150,                0.46113,                0.43922,                0.93388,                0.99445,                0.98663,                0.99268,                0.94837,                0.30867,                0.23766,                 0.8007,             0.00039342,             0.00039342,             0.00039342
                    151,                0.46534,                 0.4457,                0.93384,                 0.9917,                0.98503,                0.99235,                0.95165,                0.31025,                0.24281,                0.79698,             0.00039088,             0.00039088,             0.00039088
                    152,                0.47686,                0.44827,                0.94294,                 0.9882,                0.98976,                0.99316,                0.95066,                0.30919,                0.24189,                0.79676,             0.00038835,             0.00038835,             0.00038835
                    153,                0.46155,                0.43194,                0.93011,                0.99393,                0.98322,                 0.9932,                0.95138,                0.29813,                0.23595,                0.79631,             0.00038581,             0.00038581,             0.00038581
