                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.49764,                0.53956,                0.98432,                0.98837,                0.98033,                 0.9922,                0.93744,                0.32671,                0.26532,                0.81019,             0.00049493,             0.00049493,             0.00049493
                    111,                0.50696,                0.53729,                0.98082,                0.99348,                0.97756,                 0.9929,                 0.9416,                0.32436,                0.25914,                0.81086,             0.00049239,             0.00049239,             0.00049239
                    112,                0.51695,                0.54898,                0.97583,                0.99139,                0.97845,                0.99157,                0.93635,                0.32563,                0.26326,                0.80717,             0.00048985,             0.00048985,             0.00048985
                    113,                0.48886,                0.53362,                0.97302,                0.98672,                0.97473,                0.99139,                0.94125,                0.31553,                0.26302,                0.80766,             0.00048732,             0.00048732,             0.00048732
                    114,                0.49027,                0.53814,                0.97444,                 0.9896,                0.97839,                0.99152,                0.94393,                0.30745,                0.26178,                0.80485,             0.00048478,             0.00048478,             0.00048478
                    115,                0.49481,                0.53767,                0.97106,                0.98379,                0.97417,                0.99095,                0.93701,                0.31195,                0.26914,                0.80437,             0.00048224,             0.00048224,             0.00048224
                    116,                0.49219,                0.53279,                0.96599,                0.99118,                0.98367,                0.99195,                 0.9433,                0.31371,                0.25478,                0.80569,              0.0004797,              0.0004797,              0.0004797
                    117,                 0.4838,                 0.5173,                0.96707,                0.99616,                0.98046,                0.99172,                0.94446,                0.31369,                0.25325,                0.80559,             0.00047716,             0.00047716,             0.00047716
                    118,                0.49055,                 0.5151,                0.96646,                0.99465,                0.97669,                0.99221,                0.93911,                0.32094,                0.25391,                0.80626,             0.00047463,             0.00047463,             0.00047463
                    119,                0.48903,                0.52432,                 0.9593,                0.99397,                0.97699,                0.99269,                0.94355,                0.31419,                0.25547,                0.80187,             0.00047209,             0.00047209,             0.00047209
                    120,                0.48088,                0.50557,                 0.9578,                0.99082,                0.98455,                0.99247,                0.94465,                 0.3069,                0.24695,                0.80107,             0.00046955,             0.00046955,             0.00046955
                    121,                0.48611,                 0.5149,                0.97277,                0.99488,                0.98384,                0.99246,                0.94843,                0.30123,                0.24219,                0.80324,             0.00046701,             0.00046701,             0.00046701
                    122,                0.48128,                0.50956,                0.96993,                0.98982,                0.98246,                 0.9932,                0.94174,                0.31081,                 0.2492,                0.80402,             0.00046448,             0.00046448,             0.00046448
                    123,                 0.4852,                0.51723,                0.97018,                0.99038,                0.98444,                0.99226,                0.94466,                 0.3003,                0.24632,                0.80084,             0.00046194,             0.00046194,             0.00046194
                    124,                0.48555,                0.51282,                0.96358,                 0.9954,                0.98517,                0.99322,                0.94716,                0.30252,                0.23752,                0.80186,              0.0004594,              0.0004594,              0.0004594
                    125,                0.48869,                0.50253,                 0.9661,                0.99206,                0.98427,                0.99161,                0.94277,                0.31178,                0.24755,                0.80294,             0.00045686,             0.00045686,             0.00045686
                    126,                 0.4793,                0.48845,                0.95828,                0.99151,                0.98093,                0.99195,                 0.9453,                 0.3069,                0.24864,                0.80206,             0.00045433,             0.00045433,             0.00045433
                    127,                0.46945,                0.49935,                0.95973,                0.99518,                  0.984,                0.99334,                0.94866,                0.29708,                0.23655,                0.79963,             0.00045179,             0.00045179,             0.00045179
                    128,                0.45704,                0.47892,                0.95462,                0.99115,                0.98063,                0.99223,                0.94765,                 0.3058,                0.24055,                0.80039,             0.00044925,             0.00044925,             0.00044925
                    129,                0.46579,                0.48067,                0.95547,                0.98988,                0.98501,                0.99142,                0.94521,                0.30766,                0.24275,                0.80111,             0.00044671,             0.00044671,             0.00044671
                    130,                 0.4591,                0.48052,                0.95896,                0.99378,                0.98336,                0.99251,                  0.948,                0.29881,                 0.2358,                0.79653,             0.00044417,             0.00044417,             0.00044417
                    131,                 0.4574,                0.49479,                0.95762,                0.99256,                0.98298,                0.99219,                0.95156,                 0.2885,                0.23437,                0.79438,             0.00044164,             0.00044164,             0.00044164
                    132,                0.46882,                0.48629,                0.95186,                0.99145,                0.97552,                0.99242,                0.94668,                0.30409,                0.24492,                0.80107,              0.0004391,              0.0004391,              0.0004391
                    133,                0.46202,                0.47625,                0.95437,                0.98847,                0.98608,                0.99198,                0.95318,                0.29061,                0.22998,                0.79677,             0.00043656,             0.00043656,             0.00043656
                    134,                 0.4554,                0.46277,                0.95148,                0.99368,                0.98663,                0.99121,                0.95299,                0.29067,                0.23191,                0.79465,             0.00043402,             0.00043402,             0.00043402
                    135,                0.46646,                0.48194,                0.95542,                0.99192,                0.97895,                0.99112,                0.94705,                0.30402,                0.24524,                0.79784,             0.00043149,             0.00043149,             0.00043149
                    136,                0.47185,                0.50269,                0.96461,                0.99666,                0.98431,                0.99324,                0.95439,                0.28609,                0.22733,                 0.7916,             0.00042895,             0.00042895,             0.00042895
                    137,                 0.4529,                0.47097,                  0.952,                0.99569,                0.98622,                0.99437,                0.95391,                0.28318,                0.22836,                0.79136,             0.00042641,             0.00042641,             0.00042641
                    138,                0.46354,                0.48752,                0.95881,                 0.9971,                0.98316,                0.99318,                0.95283,                0.28612,                0.22775,                 0.7926,             0.00042387,             0.00042387,             0.00042387
                    139,                0.45767,                0.46288,                0.95614,                0.99269,                0.98556,                0.99167,                0.95227,                0.28898,                0.22683,                0.79468,             0.00042134,             0.00042134,             0.00042134
